product_name,product_code,category_main,category_mid,category_sub,full_path,price_original,price_discounted,brand,discount_pct,price_anomaly,ever_purchased
Durex Invisible XL 10'lu,117223,Kişisel Bakım,,Cinsel Sağlık Ürünleri,Kişisel Bakım > Cinsel Sağlık Ürünleri,227.81,91.12,Durex,60.0,False,False
Durex Close Fit 10'lu,117224,Kişisel Bakım,,Cinsel Sağlık Ürünleri,Kişisel Bakım > Cinsel Sağlık Ürünleri,227.81,91.12,Durex,60.0,False,False
Durex Naturals Prezervatif 10'lu,118573,Kişisel Bakım,,Cinsel Sağlık Ürünleri,Kişisel Bakım > Cinsel Sağlık Ürünleri,227.81,91.12,Durex,60.0,False,False
Lionesse Tırnak Yapıştırıcı 10 G,6578,Kişisel Bakım,,Tırnak Bakım,Kişisel Bakım > Tırnak Bakım,228.07,148.24,Lionesse,35.0,False,False
Lionesse Naturel Bamboo Allık Fırçası 332,79335,Makyaj,,Makyaj Aksesuarları,Makyaj > Makyaj Aksesuarları,228.08,148.25,Lionesse,35.0,False,False
L'Oréal Paris Color Queen Tekli Göz Farı 37 Extraordinnaire,1122-1439,Makyaj,Göz,Göz Farı,Makyaj > Göz > Göz Farı,228.72,114.37,Loreal Paris Makyaj,50.0,False,False
L'Oréal Paris Color Queen Eyeshadow Nu 02 Force,1122-330,Makyaj,Göz,Göz Farı,Makyaj > Göz > Göz Farı,228.72,91.49,Loreal Paris Makyaj,60.0,False,True
Orkid Yaprak Günlük Ped Normal Dev Ekonomik Paket 100'lü,95678,Kişisel Bakım,Kadın Bakım,Günlük Pedler,Kişisel Bakım > Kadın Bakım > Günlük Pedler,228.9,160.23,Orkid,30.0,False,False
Pastel Show By Pastel Your Mascara Color No:11 Blue,1447-805,Makyaj,Göz,Maskara,Makyaj > Göz > Maskara,229.08,114.54,Pastel,50.0,False,False
John Frieda Frizz Ease Dream Curls Seyahat Boy Saç Kremi 75 Ml,132432,Saç Bakım,Saç Bakım Ürünleri,Saç Kremi,Saç Bakım > Saç Bakım Ürünleri >Saç Kremi,229.08,126.0,John Frieda,45.0,False,False
John Frieda Sheer Blonde Go Blonder Seyahat Boy Saç Kremi 75 Ml,132434,Saç Bakım,Saç Bakım Ürünleri,Saç Kremi,Saç Bakım > Saç Bakım Ürünleri >Saç Kremi,229.08,126.0,John Frieda,45.0,False,False
John Frieda Miraculous Recovery Seyahat Boy Saç Kremi 75 Ml,132435,Saç Bakım,Saç Bakım Ürünleri,Saç Kremi,Saç Bakım > Saç Bakım Ürünleri >Saç Kremi,229.08,126.0,John Frieda,45.0,False,False
John Frieda Frizz Ease Dream Curls Seyahat Boy Şampuan 75 Ml,132431,Saç Bakım,Saç Bakım Ürünleri,Şampuan,Saç Bakım > Saç Bakım Ürünleri >Şampuan,229.08,126.0,John Frieda,45.0,False,False
John Frieda Sheer Blonde Go Blonder Seyahat Boy Şampuan 75 Ml,132433,Saç Bakım,Saç Bakım Ürünleri,Şampuan,Saç Bakım > Saç Bakım Ürünleri >Şampuan,229.08,126.0,John Frieda,45.0,False,False
John Frieda Miraculous Recovery Seyahat Boy Şampuan 75 Ml,132436,Saç Bakım,Saç Bakım Ürünleri,Şampuan,Saç Bakım > Saç Bakım Ürünleri >Şampuan,229.08,126.0,John Frieda,45.0,False,False
O.B. Tampon Organic Normal 16'lı,120862,Kişisel Bakım,Kadın Bakım,Günlük Pedler,Kişisel Bakım > Kadın Bakım > Günlük Pedler,229.09,137.45,O.B.,40.0,False,False
O.B. Tampon Organic Super 16'lı,120863,Kişisel Bakım,Kadın Bakım,Günlük Pedler,Kişisel Bakım > Kadın Bakım > Günlük Pedler,229.09,137.45,O.B.,40.0,False,False
O.B. Tampon Organic 16'lı,123286,Kişisel Bakım,Kadın Bakım,Tampon,Kişisel Bakım > Kadın Bakım > Tampon,229.09,137.45,O.B.,40.0,False,False
Johnson's Baby Bebek Pişik Kremi 100 Ml,134903,Bebek,Bebek Bakım Ürünleri,Pişik Kremi,Bebek > Bebek Bakım Ürünleri >Pişik Kremi,229.17,137.5,Johnson's Baby,40.0,False,False
Johnson's Baby Bebek Pudrası 200 Gr,134904,Bebek,Bebek Bakım Ürünleri,Pişik Kremi,Bebek > Bebek Bakım Ürünleri >Pişik Kremi,229.17,137.5,Johnson's Baby,40.0,False,False
Sesu Vücut Losyonu 175 Ml,128316,Kişisel Bakım,Vücut Bakım,Vücut Losyonu,Kişisel Bakım > Vücut Bakım > Vücut Losyonu,229.17,114.58,Sesu,50.0,False,False
Solingen Cımbız 7337 Aranya,6522,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
Solingen Cımbız 7337 Inox,6523,Kişisel Bakım,,El Bakım,Kişisel Bakım > El Bakım,229.5,149.18,Solingen,35.0,False,False
